,Mars Model,,,,,,,,
,Rayon,Densité,vpv,vsv,qkappa,qshear,vph,vsh,eta
,0,,1,1,,,,,
,96,,3,11,92,,,,
,0,6844.77,5548.28,0,10000,0,5548.28,0,1
,5000,6844.77,5548.28,0,10000,0,5548.28,0,1
,10000,6844.77,5548.28,0,10000,0,5548.28,0,1
,10000,6844.77,5548.28,0,10000,0,5548.28,0,1
,241903,6844.77,5548.28,0,10000,0,5548.28,0,1
,483806,6807.97,5513.94,0,10000,0,5513.94,0,1
,725708,6746.28,5456.31,0,10000,0,5456.31,0,1
,967611,6659.11,5374.78,0,10000,0,5374.78,0,1
,1209514,6545.6,5268.4,0,10000,0,5268.4,0,1
,1451417,6404.46,5135.8,0,10000,0,5135.8,0,1
,1693320,6233.92,4975.09,0,10000,0,4975.09,0,1
,1693320,4085.57,9650.03,5023.28,10000,50,9650.03,5023.28,1
,1715805,4079.91,9634.76,5016.06,10000,50,9634.76,5016.06,1
,1738289,4074.27,9619.53,5008.9,10000,50,9619.53,5008.9,1
,1760774,4069.12,9605.33,5002.62,10000,50,9605.33,5002.62,1
,1783259,4063.41,9589.93,4995.38,10000,50,9589.93,4995.38,1
,1805743,4052.43,9560.59,4977.31,10000,50,9560.59,4977.31,1
,1828228,4039.04,9523.79,4953.85,10000,50,9523.79,4953.85,1
,1850713,4033.07,9507.04,4946.32,10000,50,9507.04,4946.32,1
,1873197,4027.44,9491.23,4939.38,10000,50,9491.23,4939.38,1
,1895682,4021.42,9474.66,4931.78,10000,50,9474.66,4931.78,1
,1918167,4015.32,9457.17,4924.17,10000,50,9457.17,4924.17,1
,1940651,4008.8,9439.12,4916.03,10000,50,9439.12,4916.03,1
,1963136,4002.24,9421.2,4908.27,10000,50,9421.2,4908.27,1
,1985621,3989.48,9374.75,4882.46,10000,50,9374.75,4882.46,1
,2008105,3972.51,9310.8,4846.33,10000,50,9310.8,4846.33,1
,2030590,3960.24,9263.45,4821.41,10000,50,9263.45,4821.41,1
,2053075,3945.99,9209.08,4792.27,10000,50,9209.08,4792.27,1
,2075560,3933.7,9160.66,4767.64,10000,50,9160.66,4767.64,1
,2098044,3919.51,9104.69,4738.55,10000,50,9104.69,4738.55,1
,2120529,3913.09,9086.71,4731.96,10000,50,9086.71,4731.96,1
,2143014,3905.28,9066.42,4724.23,10000,50,9066.42,4724.23,1
,2165498,3898.63,9047.67,4717.4,10000,50,9047.67,4717.4,1
,2187983,3891.26,9027.96,4711.01,10000,50,9027.96,4711.01,1
,2210468,3883.56,9006.77,4702.37,10000,50,9006.77,4702.37,1
,2232952,3876.72,8987.51,4695.68,10000,50,8987.51,4695.68,1
,2255437,3869.61,8967.82,4689.14,10000,50,8967.82,4689.14,1
,2277922,3862.41,8948.36,4683.34,10000,50,8948.36,4683.34,1
,2300406,3800.99,8719.44,4544.86,10000,50,8719.44,4544.86,1
,2322891,3750.35,8541.07,4440.16,10000,50,8541.07,4440.16,1
,2345376,3728.47,8472,4404.36,10000,50,8472,4404.36,1
,2367860,3719.63,8430.38,4377.58,10000,50,8430.38,4377.58,1
,2390345,3707.81,8395.96,4363.19,10000,50,8395.96,4363.19,1
,2412830,3696.58,8362.55,4349.79,10000,50,8362.55,4349.79,1
,2435314,3686.2,8330.33,4336.49,10000,50,8330.33,4336.49,1
,2457799,3676.33,8301.05,4324.97,10000,50,8301.05,4324.97,1
,2480284,3667.69,8274.58,4315.4,10000,50,8274.58,4315.4,1
,2502769,3659.17,8247.83,4305.53,10000,50,8247.83,4305.53,1
,2525253,3650.83,8221.61,4296.2,10000,50,8221.61,4296.2,1
,2547738,3643.05,8197.21,4287.61,10000,50,8197.21,4287.61,1
,2570223,3635.33,8172.9,4279.24,10000,50,8172.9,4279.24,1
,2592707,3627.66,8148.91,4271.52,10000,50,8148.91,4271.52,1
,2615192,3619.93,8124.41,4263.36,10000,50,8124.41,4263.36,1
,2637677,3612.44,8100.75,4255.6,10000,50,8100.75,4255.6,1
,2660161,3605.07,8077.23,4247.86,10000,50,8077.23,4247.86,1
,2682646,3597.5,8053.01,4240.2,10000,50,8053.01,4240.2,1
,2705131,3590.15,8029.06,4232.48,10000,50,8029.06,4232.48,1
,2727615,3582.18,8003.71,4224.61,10000,50,8003.71,4224.61,1
,2750100,3574.2,7977.75,4216.45,10000,50,7977.75,4216.45,1
,2772585,3566.65,7953.42,4208.86,10000,50,7953.42,4208.86,1
,2795069,3558.98,7928.1,4200.9,10000,50,7928.1,4200.9,1
,2817554,3551.34,7903.06,4193.14,10000,50,7903.06,4193.14,1
,2840039,3543.82,7878.16,4185.41,10000,50,7878.16,4185.41,1
,2862524,3536.13,7853.04,4177.56,10000,50,7853.04,4177.56,1
,2885008,3527.99,7826.88,4170,10000,50,7826.88,4170,1
,2907428,3520.31,7800.11,4161.51,10000,50,7800.11,4161.51,1
,2929703,3512.08,7771.8,4152.88,10000,50,7771.8,4152.88,1
,2951967,3503.61,7742.46,4143.46,10000,50,7742.46,4143.46,1
,2974156,3495.14,7713.9,4135.23,10000,50,7713.9,4135.23,1
,2996360,3486.59,7683.74,4125.78,10000,50,7683.74,4125.78,1
,3018528,3477.51,7651.52,4116.21,10000,50,7651.52,4116.21,1
,3040964,3468.19,7617.81,4106.39,10000,50,7617.81,4106.39,1
,3064500,3458.3,7581.59,4095.71,10000,50,7581.59,4095.71,1
,3089500,3446.88,7538.81,4083.3,10000,50,7538.81,4083.3,1
,3109500,3437.1,7499.5,4071.11,10000,50,7499.5,4071.11,1
,3129500,3425.78,7452.5,4058.06,10000,50,7452.5,4058.06,1
,3149500,3414.32,7404.89,4045.74,10000,50,7404.89,4045.74,1
,3169500,3399.97,7341.03,4028.62,10000,50,7341.03,4028.62,1
,3189500,3388.53,7294.36,4016.54,10000,50,7294.36,4016.54,1
,3199500,3384.48,7279.69,4012.79,10000,50,7279.69,4012.79,1
,3209500,3380.42,7265.1,4009.15,10000,50,7265.1,4009.15,1
,3219500,3376.34,7250.41,4005.52,10000,50,7250.41,4005.52,1
,3229500,3372.12,7235.71,4001.97,10000,50,7235.71,4001.97,1
,3239500,3368.02,7219.85,3998.12,10000,50,7219.85,3998.12,1
,3249500,3363.61,7202.72,3993.51,10000,50,7202.72,3993.51,1
,3259500,3359.26,7186.62,3989.22,10000,50,7186.62,3989.22,1
,3269500,3354.71,7169.51,3984.36,10000,50,7169.51,3984.36,1
,3279500,3349.88,7150.24,3978.62,10000,50,7150.24,3978.62,1
,3289500,3345.16,7132.1,3973.24,10000,50,7132.1,3973.24,1
,3299500,3359.5,7212.61,4159.16,10000,50,7212.61,4159.16,1
,3305940,3368.4,7262.09,4188.83,10000,50,7262.09,4188.83,1
,3317191,3196.59,6684.12,3784.8,10000,50,6684.12,3784.8,1
,3317191,3076.41,6601.63,3443.62,10000,50,6601.63,3443.62,1
,3321726,3076.41,6601.63,3443.62,10000,50,6601.63,3443.62,1
,3321726,2954.01,5989.61,3035.61,10000,50,5989.61,3035.61,1
,3389500,2954.01,5989.61,3035.61,10000,50,5989.61,3035.61,1
